"","Country","Score_2017","Incident"
"1","Afghanistan",48.9,1414
"2","Albania",64.4,1
"3","Algeria",46.5,14
"4","Angola",48.5,6
"5","Argentina",50.4,3
"6","Australia",81,4
"7","Austria",72.3,1
"8","Azerbaijan",63.6,2
"9","Bahrain",68.5,21
"10","Bangladesh",55,41
"11","Belgium",67.8,3
"12","Brazil",52.9,2
"13","Burkina Faso",59.6,32
"14","Burundi",53.2,21
"15","Cameroon",51.8,94
"16","Canada",78.5,12
"17","Central African Republic",51.8,43
"18","Chad",49,6
"19","Chile",76.5,12
"20","China",57.4,6
"21","Colombia",69.7,117
"22","Czech Republic",73.3,3
"23","Djibouti",46.7,1
"24","Dominican Republic",62.9,1
"25","Ecuador",49.3,3
"26","Egypt",52.6,224
"27","Ethiopia",52.7,27
"28","Finland",74,2
"29","France",63.3,41
"30","Gabon",58.6,4
"31","Georgia",76,1
"32","Germany",73.8,27
"33","Greece",55,43
"34","Honduras",58.8,1
"35","India",52.6,966
"36","Indonesia",61.9,27
"37","Iran",50.5,11
"38","Iraq",NA,2466
"39","Ireland",76.7,17
"40","Israel",69.7,32
"41","Italy",62.5,8
"42","Jamaica",69.5,2
"43","Jordan",66.7,8
"44","Kenya",53.5,97
"45","Kosovo",67.9,8
"46","Latvia",74.8,1
"47","Lebanon",53.3,23
"48","Liberia",49.1,1
"49","Libya",NA,190
"50","Macedonia",70.7,1
"51","Malawi",52.2,1
"52","Malaysia",73.8,4
"53","Maldives",50.3,2
"54","Mali",58.6,141
"55","Malta",67.7,3
"56","Mexico",63.6,20
"57","Mozambique",49.9,11
"58","Nepal",55.1,247
"59","Netherlands",75.8,1
"60","Niger",50.8,13
"61","Nigeria",57.1,484
"62","Norway",74,1
"63","Pakistan",52.8,719
"64","Papua New Guinea",50.9,8
"65","Paraguay",62.4,10
"66","Peru",68.9,8
"67","Philippines",65.6,692
"68","Poland",68.3,1
"69","Russia",57.1,33
"70","Rwanda",67.6,2
"71","Saudi Arabia",64.4,54
"72","Serbia",58.9,1
"73","Sierra Leone",52.6,3
"74","Somalia",NA,614
"75","South Africa",62.3,29
"76","Spain",63.6,4
"77","Sri Lanka",57.4,41
"78","Sudan",48.8,106
"79","Sweden",74.9,18
"80","Syria",NA,243
"81","Tajikistan",58.2,2
"82","Tanzania",58.6,6
"83","Thailand",66.2,179
"84","Tunisia",55.7,4
"85","Turkey",65.2,181
"86","Uganda",60.9,13
"87","Ukraine",48.1,61
"88","United Kingdom",76.4,122
"89","United States",75.1,65
"90","Venezuela",27,17
"91","Vietnam",52.4,2
"92","Yemen",NA,226
"93","Zambia",55.8,2
"94","Zimbabwe",44,3
